,Company Ticker,Current Price,Graham Intrinsic,Modern Intrinsic,Financial Intrinsic
0,AAPL,151.01,145.8364,89.1157,163.29749347999999
1,MSFT,263.1,288.36,168.93,294.03333899999996
2,2222.SR,32.4,667.3398,341.0124,71.48480712000001
3,GOOG,94.86,179.0256,101.9703,109.57070682000001
4,AMZN,97.61,100.5,53.0,142.51059999999998
5,BRK-B,309.89,287.071,157.863,382.0953564
6,TSLA,196.89,203.37279999999998,111.1464,246.74240735999996
7,NVDA,212.65,190.603,105.559,258.0316647
8,TSM,95.37,336.295,186.10500000000002,115.83567000000001
9,TCEHY,48.59,33.78639999999999,24.290699999999998,49.56760241999999
10,V,227.2,282.53360000000004,160.95680000000002,262.35531664
11,XOM,119.17,827.6892,450.3096,151.34571504000002
12,META,174.15,128.6016,86.7408,180.45547872
13,UNH,494.25,770.1048,443.2974,563.2029291599999
14,MC.PA,797.6,921.6263999999999,537.8956999999999,894.97755022
15,JNJ,162.15,109.56440000000002,73.28970000000001,168.43238973
16,JPM,141.04,78.82679999999999,72.6609,139.69350603
17,WMT,143.72,55.835,36.855,149.952231
18,MA,366.83,502.6196000000001,279.4148,441.40206572000005
19,005930.KS,62800.0,,,
20,600519.SS,1810.0,2131.5042,1196.1846,2139.69782736
21,CVX,171.97,78.604,89.57200000000002,168.4024892
22,LLY,345.12,353.3346,194.7348,423.25774343999996
23,PG,138.26,106.248,68.799,145.29289740000002
24,NESN.SW,109.48,149.7818,90.8684,118.91777856
25,HD,316.54,271.0806,181.1628,328.94545823999994
26,NVO,139.54,49.772999999999996,34.594,143.4480452
27,BABA,103.65,6.8112,5.3856,104.14872575999999
28,BAC,35.58,48.55179999999999,33.0484,36.7636016
29,MRK,108.57,150.5156,90.9603,118.24035603
30,ASML,656.35,1033.077,558.256,852.0148582000002
31,ABBV,152.05,17.6358,27.0504,147.58674372
32,KO,59.62,44.1864,28.3632,62.8654368
33,ROG.SW,280.15,360.1684,228.73170000000002,296.82602928
34,AVGO,593.25,669.691,407.638,643.0208868
35,PFE,43.88,-13.128000000000002,8.478499999999999,41.4785177
36,IHC.AE,,,,
37,PEP,176.2,156.1344,95.7222,190.1687139
38,ORCL,87.14,95.718,56.604000000000006,96.54225600000001
39,TMO,571.41,347.3276,228.30630000000002,596.91218625
40,OR.PA,375.6,223.80199999999996,129.33599999999998,425.9095344
41,COST,499.99,353.44919999999996,203.6196,569.1585034799999
42,1398.HK,4.04,17.74006,11.51278,4.237202760000001
43,AZN,68.88,57.912000000000006,33.136,79.30843200000002
44,SHEL,61.76,,,
45,DIS,108.06,-218.15880000000004,-116.6144,
46,TM,143.42,246.01199999999997,150.39600000000002,155.041344
47,RMS.PA,1675.0,536.326,304.49050000000005,1943.8699940000004
48,RELIANCE.NS,2336.65,,,
49,CSCO,47.26,52.293200000000006,32.719100000000005,50.41134507
50,MCD,262.42,154.61159999999998,96.25329999999998,280.65847264
51,NKE,122.23,46.010000000000005,28.89,130.227774
52,ABT,108.16,80.069,48.807,117.0476076
53,DHR,258.84,129.311,82.173,274.2854478
54,NVS,86.48,54.357600000000005,36.7488,89.55661680000001
55,WFC,47.51,31.8864,19.958199999999998,50.817374660000006
56,ACN,283.96,278.34299999999996,162.40899999999996,318.615024
57,TMUS,143.7,313.389,163.982,222.82353279999998
58,CRM,167.03,171.258,97.674,192.5618382
59,ADBE,370.99,400.77119999999996,231.98309999999998,420.07865129999993
60,BHP,65.98,-38.224999999999994,-11.549999999999997,58.58358
61,VZ,40.01,58.73279999999999,41.90639999999999,40.867007279999996
62,300750.SZ,445.95,199.4216,107.9058,576.2210397
63,MS,98.44,403.2392,222.62959999999998,120.18966848000001
64,601939.SS,5.61,19.9448,12.914900000000001,5.879822270000001
65,PRX.AS,74.04,,,
66,LIN,332.04,,,
67,NFLX,347.36,157.2704,101.3502,365.55049607999996
68,UPS,185.22,108.928,70.744,194.34389120000003
69,CMCSA,38.36,68.6642,41.2896,41.92946735999999
70,TCS.NS,3537.55,2651.5917999999997,1564.2483999999997,3928.3375871999992
71,TXN,175.79,188.1,112.19999999999999,193.2612
72,0941.HK,56.95,137.16632,84.59366000000001,61.226678748
73,PM,102.36,78.3356,54.4028,105.26629344
74,CDI.PA,781.0,277.12999999999994,167.98999999999998,848.7067729999999
75,TTE,63.73,17.73,19.7,62.512828
76,BMY,72.2,-45.54,-30.36,
77,601288.SS,2.93,12.860159999999999,8.05533,3.125709168
78,HSBC,36.85,74.235,41.16,44.734305
79,SCHW,80.46,109.0864,60.9232,96.03673872
80,NEE,74.74,57.391999999999996,34.4985,81.72403469999999
81,QCOM,128.99,214.1464,126.26820000000001,143.21789454
82,3968.HK,46.35,141.25140000000002,81.74945,52.47928797
83,RTX,100.61,74.27200000000002,43.18600000000001,113.3125378
84,RY,103.93,209.1124,122.6512,116.06540960000001
85,SAP,117.35,33.818400000000004,32.0067,116.00289845999998
86,601857.SS,5.14,7.391600000000001,4.630800000000001,5.48112096
87,601318.SS,49.3,214.10399999999998,129.35449999999997,53.7219376
88,T,19.07,0.14279999999999998,-0.8636,
89,COP,115.06,-152.9092,-83.35709999999999,
90,AMD,81.48,141.4196,77.2548,102.14928108
91,HON,200.47,155.41400000000002,95.6645,215.73673605000002
92,AXP,179.25,143.35,88.44999999999999,192.65934999999996
93,601988.SS,3.23,11.78,7.594999999999999,3.3997854999999997
94,1299.HK,86.2,518.32866,270.94258,134.72235605400002
95,CBA.AX,109.95,102.41999999999999,63.584999999999994,117.7733655
96,SIE.DE,145.74,169.8138,99.5094,162.75299741999996
97,CAT,247.67,191.125,112.75,274.824
98,AMGN,242.5,287.7488,177.0669,261.08499921000003
99,BA,212.89,-1003.6620000000001,-558.3435000000001,
100,UL,49.94,56.864999999999995,35.445,53.401360499999996
101,LOW,208.78,211.57500000000002,127.1,228.41079000000002
102,TD,69.69,101.9226,65.7288,73.41153012
103,HDB,67.97,20.319000000000003,11.232000000000001,82.7864856
104,UNP,205.5,234.99199999999996,138.7535,228.133171
105,GS,371.28,-392.1323999999999,-85.35119999999996,337.34401536
106,SBUX,107.09,18.666,11.6705,114.43483869999999
107,3690.HK,148.1,,,
108,DE,417.79,382.76859999999994,221.44179999999997,473.13753396
109,RIO,73.32,11.400000000000002,22.200000000000003,70.90044
110,SNY,47.54,193.304,112.712,53.45030800000001
111,000858.SZ,204.7,268.7704,149.6752,245.56594015999997
112,LMT,480.83,599.676,367.983,518.4694619999999
113,IBM,135.6,161.1012,96.9956,148.13115408000002
114,601628.SS,34.23,13.4724,12.731200000000001,33.8289784
115,BP,40.65,-1.67,-10.02,
116,PDD,92.45,-21.297,-13.206,
117,SPGI,363.86,289.15360000000004,172.51680000000002,400.2515337600001
118,CVS,89.66,111.38399999999999,70.707,94.92971670000001
119,PLD,128.09,-6.552,1.7290000000000003,120.6669373
120,INTU,413.52,279.292,157.6585,483.85616350000004
121,BUD,58.05,21.139999999999997,12.495000000000001,64.4426475
122,ELV,490.78,,,
123,INTC,27.8,36.4828,30.5064,27.78587136
124,6861.T,60320.0,42642.097400000006,23558.091200000003,73564.80908980001
125,P911.DE,113.5,,,
126,002594.SZ,281.86,278.5552,143.45759999999999,526.7701512
127,SONY,90.12,207.31799999999998,121.64399999999999,100.5752592
128,MDT,83.69,76.4332,44.431599999999996,94.33359779999999
129,DTE.DE,20.15,35.288000000000004,20.064,23.407348799999998
130,BLK,723.51,220.864,205.3345,716.0761156499999
131,GILD,86.7,2.0976,1.7087999999999999,86.80404
132,373220.KS,542000.0,,,
133,CSL.AX,304.96,381.8308,211.7329,368.67809154
134,AMT,216.72,127.14499999999998,75.425,239.46101399999998
135,AIR.PA,113.74,-20.253999999999998,-11.171999999999999,
136,SYK,264.34,89.0766,54.6858,285.02389512
137,NPPXF,29.63,,,
138,EQNR,33.03,-18.291,-11.648000000000001,
139,JD,52.29,81.85860000000001,54.3768,54.42779291999999
140,AMAT,114.77,139.1104,81.0502,128.95740989999996
141,DEO,171.14,85.91799999999999,50.274,191.80823759999998
142,ALV.DE,219.9,465.4464,277.60319999999996,242.01495936000003
143,C,50.11,-110.2248,-35.0649,44.16758037
144,IDEXY,14.81,,,
145,TAQA.AE,,,,
146,BKNG,2348.37,152.8128,80.3664,3494.6040398399996
147,NOW,458.36,46.0408,25.1104,577.72148144
148,TJX,80.25,2.1224000000000003,1.2537,89.00538591000002
149,SU.PA,150.02,110.7186,65.83680000000001,165.46168584
150,ADP,225.82,216.92159999999998,124.30079999999998,258.97646592
151,ADI,178.46,142.7322,,204.58499152000002
152,EL,250.24,114.3828,67.58640000000001,277.67123999999995
153,PYPL,80.8,120.9972,70.2336,91.15531152
154,CB,214.69,477.03039999999993,272.3952,247.18445136
155,GE,81.29,-45.405,-23.94,
156,MUFG,7.34,10.649,5.957,8.802999300000002
157,MDLZ,65.5,45.936,30.227999999999994,68.4130788
158,CFR.SW,140.0,27.967199999999995,15.166099999999998,178.33621813
159,MRK.DE,184.75,123.75560000000002,74.4453,201.92977779
160,CI,296.51,709.4639999999999,417.872,329.61192320000004
161,BNP.PA,63.59,148.4752,89.85759999999999,69.16512144
162,ISRG,245.27,243.3888,148.4244,265.51658412
163,MMC,172.05,109.938,67.014,186.56342819999998
164,MBG.DE,71.96,,,
165,EL.PA,168.7,4.8792,2.9621,183.19035269000003
166,AI.PA,142.32,172.19,100.22999999999999,160.117425
167,MO,47.24,39.6566,26.2358,49.24105966
168,1120.SR,77.3,222.222,123.81600000000002,92.59653480000001
169,BTI,36.85,124.548,72.944,41.20948
170,VOW3.DE,128.6,364.3104000000001,227.86020000000002,137.27046348000002
171,REGN,757.61,-753.844,-292.992,631.7603376
172,INFY,19.16,23.241,13.298,21.9957948
173,GLCNF,6.2,,,
174,PGR,138.73,741.8399999999999,401.16999999999996,179.58783699999998
175,ENB,40.59,17.639999999999997,12.12,41.780243999999996
176,601088.SS,27.7,62.699999999999996,36.574999999999996,31.138150000000003
177,TGT,170.02,411.95520000000005,229.73760000000001,203.34509568
178,CNI,119.85,103.0068,62.5859,130.07559265999998
