,Unnamed: 0,Company Ticker,Current Price,Graham Intrinsic,Modern Intrinsic,Financial Intrinsic
2,2,2222.SR,32.4,667.3398,341.0124,71.48480712000001
3,3,GOOG,94.86,179.0256,101.9703,109.57070682
8,8,TSM,95.37,336.295,186.105,115.83567
11,11,XOM,119.17,827.6892,450.3096,151.34571504000002
42,42,1398.HK,4.04,17.74006,11.51278,4.237202760000001
46,46,TM,143.42,246.012,150.39600000000002,155.041344
57,57,TMUS,143.7,313.389,163.982,222.8235328
61,61,VZ,40.01,58.73279999999999,41.90639999999999,40.86700728
63,63,MS,98.44,403.2392,222.6296,120.18966848
64,64,601939.SS,5.61,19.9448,12.9149,5.879822270000001
69,69,CMCSA,38.36,68.6642,41.2896,41.92946735999999
72,72,0941.HK,56.95,137.16632,84.59366000000001,61.226678748
77,77,601288.SS,2.93,12.86016,8.05533,3.125709168
78,78,HSBC,36.85,74.235,41.16,44.734305
82,82,3968.HK,46.35,141.25140000000002,81.74945,52.47928797
84,84,RY,103.93,209.1124,122.6512,116.0654096
87,87,601318.SS,49.3,214.104,129.35449999999997,53.7219376
93,93,601988.SS,3.23,11.78,7.594999999999999,3.3997855
94,94,1299.HK,86.2,518.32866,270.94258,134.72235605400002
110,110,SNY,47.54,193.304,112.712,53.45030800000001
127,127,SONY,90.12,207.318,121.644,100.5752592
139,139,JD,52.29,81.85860000000001,54.3768,54.42779291999999
142,142,ALV.DE,219.9,465.4464,277.6032,242.01495936000003
154,154,CB,214.69,477.03039999999993,272.3952,247.18445136
160,160,CI,296.51,709.4639999999999,417.872,329.61192320000004
161,161,BNP.PA,63.59,148.4752,89.85759999999999,69.16512144
168,168,1120.SR,77.3,222.222,123.81600000000002,92.5965348
169,169,BTI,36.85,124.548,72.944,41.20948
170,170,VOW3.DE,128.6,364.3104000000001,227.8602,137.27046348000002
174,174,PGR,138.73,741.8399999999999,401.17,179.58783699999998
176,176,601088.SS,27.7,62.7,36.575,31.138150000000003
177,177,TGT,170.02,411.9552000000001,229.7376,203.34509568
181,181,600028.SS,4.5,10.3428,6.78015,4.705138035
189,189,GSK,35.84,83.808,49.824,39.5174016
194,194,CP,79.67,426.1698,256.7824,86.90107523999998
195,195,BBCA.JK,8825.0,45705.996,25929.148,10253.7609972
197,197,0883.HK,11.3,60.0152,34.21785,13.033142729999998
208,208,D05.SI,36.03,63.558,37.66400000000001,39.92859080000001
212,212,ZURN.SW,432.5,800.4654,464.3352,488.5298611199999
215,215,UBS,21.58,37.36860000000001,23.716800000000003,22.84222104
219,219,BX,93.13,207.86,118.9725,106.8315615
224,224,CSX,31.57,109.5712,64.4931,35.15408745
237,237,0728.HK,3.82,7.700400000000001,4.617450000000001,4.178160315
244,244,ABB,33.63,95.381,54.648,38.50376639999999
248,248,HUM,498.62,1069.7,612.2624999999999,572.07063375
257,257,SBIN.NS,553.05,1174.2282,658.5866,654.49972448
258,258,CHTR,396.94,1084.7508,591.0228999999999,501.57806747
269,269,GM,41.35,172.767,98.291,47.8436855
275,275,1180.SR,48.4,118.54099999999998,69.363,54.1677687
279,279,EPD,26.37,49.419,29.412,29.001223800000005
295,295,DSY.PA,37.01,64.2884,37.8917,41.13354707
296,296,STLA,16.4,224.5992,124.9771,19.711972760000005
298,298,000333.SZ,51.62,136.1248,79.4199,57.89238651
299,299,F,12.73,35.343,20.394,14.406638400000002
303,303,601166.SS,17.19,103.9416,60.8258,19.23926172
311,311,601012.SS,45.38,183.0276,98.1963,60.52558221
316,316,ISP.MI,2.477,6.66,3.825,2.829744
325,325,ING,13.9,27.027,15.631,15.790621000000002
327,327,601328.SS,4.9,23.85972,14.79261,5.256624231
342,342,7010.SR,36.3,57.96,44.16,36.684816
354,354,7974.T,5307.0,76270.39199999999,48267.736,5629.4181504
