,Company Ticker
0,AAPL
1,MSFT
2,2222.SR
3,GOOG
4,AMZN
5,BRK-B
6,TSLA
7,NVDA
8,TSM
9,TCEHY
10,V
11,XOM
12,META
13,UNH
14,MC.PA
15,JNJ
16,JPM
17,WMT
18,MA
19,005930.KS
20,600519.SS
21,CVX
22,LLY
23,PG
24,NESN.SW
25,HD
26,NVO
27,BABA
28,BAC
29,MRK
30,ASML
31,ABBV
32,KO
33,ROG.SW
34,AVGO
35,PFE
36,IHC.AE
37,PEP
38,ORCL
39,TMO
40,OR.PA
41,COST
42,1398.HK
43,AZN
44,SHEL
45,DIS
46,TM
47,RMS.PA
48,RELIANCE.NS
49,CSCO
50,MCD
51,NKE
52,ABT
53,DHR
54,NVS
55,WFC
56,ACN
57,TMUS
58,CRM
59,ADBE
60,BHP
61,VZ
62,300750.SZ
63,MS
64,601939.SS
65,PRX.AS
66,LIN
67,NFLX
68,UPS
69,CMCSA
70,TCS.NS
71,TXN
72,0941.HK
73,PM
74,CDI.PA
75,TTE
76,BMY
77,601288.SS
78,HSBC
79,SCHW
80,NEE
81,QCOM
82,3968.HK
83,RTX
84,RY
85,SAP
86,601857.SS
87,601318.SS
88,T
89,COP
90,AMD
91,HON
92,AXP
93,601988.SS
94,1299.HK
95,CBA.AX
96,SIE.DE
97,CAT
98,AMGN
99,BA
100,UL
101,LOW
102,TD
103,HDB
104,UNP
105,GS
106,SBUX
107,3690.HK
108,DE
109,RIO
110,SNY
111,000858.SZ
112,LMT
113,IBM
114,601628.SS
115,BP
116,PDD
117,SPGI
118,CVS
119,PLD
120,INTU
121,BUD
122,ELV
123,INTC
124,6861.T
125,P911.DE
126,002594.SZ
127,SONY
128,MDT
129,DTE.DE
130,BLK
131,GILD
132,373220.KS
133,CSL.AX
134,AMT
135,AIR.PA
136,SYK
137,NPPXF
138,EQNR
139,JD
140,AMAT
141,DEO
142,ALV.DE
143,C
144,IDEXY
145,TAQA.AE
146,BKNG
147,NOW
148,TJX
149,SU.PA
150,ADP
151,ADI
152,EL
153,PYPL
154,CB
155,GE
156,MUFG
157,MDLZ
158,CFR.SW
159,MRK.DE
160,CI
161,BNP.PA
162,ISRG
163,MMC
164,MBG.DE
165,EL.PA
166,AI.PA
167,MO
168,1120.SR
169,BTI
170,VOW3.DE
171,REGN
172,INFY
173,GLCNF
174,PGR
175,ENB
176,601088.SS
177,TGT
178,CNI
179,VALE
180,KER.PA
181,600028.SS
182,SLB
183,DUK
184,ZTS
185,VRTX
186,HINDUNILVR.NS
187,EOG
188,USB
189,GSK
190,FISV
191,2010.SR
192,ABNB
193,CS.PA
194,CP
195,BBCA.JK
196,HCA
197,0883.HK
198,600900.SS
199,IBN
200,ITW
201,PBR
202,SO
203,UBER
204,BMO
205,BMW.DE
206,IBE.MC
207,NAB.AX
208,D05.SI
209,BDX
210,LRCX
211,NOC
212,ZURN.SW
213,EQIX
214,BSX
215,UBS
216,9984.T
217,9433.T
218,ETN
219,BX
220,WMMVF
221,CME
222,MU
223,CNQ
224,CSX
225,DG.PA
226,ALPHADHABI.AE
227,AON
228,BNS
229,KKR
230,9983.T
231,SHL.DE
232,APD
233,PNC
234,TFC
235,9633.HK
