,0
0,IHC.AE
1,TAQA.AE
2,HINDUNILVR.NS
3,ALPHADHABI.AE
4,EAND.AE
5,ATD.TO
6,ROP
7,FAB.AE
8,AXISBANK.BO
9,HYMTF
10,6594.T
11,600000.SS
12,0688.HK
13,EOAN.DE
14,601138.SS
15,CPNG
16,HO.PA
17,IT
18,CBRE
19,KNEBV.HE
20,PPBA.F
21,BOROUGE.AE
22,TSN
23,ATL.MI
24,RCL
25,7269.T
26,SLHN.SW
27,PINS
28,ADCB.AE
29,ADNOCDIST.AE
30,ADNOCDRILL.AE
31,DHER.F
32,AM.PA
33,KPN.F
34,WDC
35,HST
36,CBOE
37,HEI.DE
38,MULTIPLY.AE
39,ALO.PA
40,LTI.BO
41,VBL.NS
42,ZEN
43,ADIB.AE
44,ALDAR.AE
45,FERTIGLB.AE
46,ADPORTS.AE
47,SWCH
48,AMR.AE
49,MINDTREE.NS
50,ORDS.AE
51,NMDC.AE
52,QHOLDING.AE
53,FHZN.SW
54,GHITHA.AE
55,ERG.MI
56,BOKA.AS
57,VBK.F
58,SMPL
59,1295.KL
60,INDB
61,TATACHEM.NS
62,MFSL.NS
63,IRTC
64,GHC
65,BURJEEL.AE
66,ATA.TO
67,BAYANAT.AE
68,RMI.JO
69,PHR
70,FBC
71,CEIX
72,ETWO
73,EVCM
74,TEN
75,TRN.L
76,CSVI
77,PAS.KH
78,TBK
79,PBFX
80,MTL
81,ABC.KH
82,SANT.F
83,PWSA.KH
84,NRS.OL
85,ALP-PQ
86,AERI
87,ECOM
88,PDSMFL.NS
89,CNSL
90,AKUS
91,RADA
92,GDL.NS
93,PPAP.KH
94,AGCNET.NS
95,AMC.V
96,LNDC
97,HSIL.NS
98,GALLISPAT.NS
99,NTP
100,JOAN
101,SRIPIPES.NS
102,4334.T
103,EBIXFOREX.NS
104,
105,XBC.TO
106,PEPC.KH
107,POG.L
108,AESE
109,KIRK
110,PPSP.KH
111,GTI.KH
112,CHG
113,SMTS
114,MITO
115,WTRH
116,LOTZ
117,CLSN
118,PSHG
119,JUMPNET.NS
120,GPL
121,JAGX
122,EDBL
123,SBR.AX
124,JFBR
125,PHAS
126,ZVO
127,TEUM
